"list__main__temp","list__main__temp_min","list__main__temp_max","list__main__pressure","list__main__sea_level","list__main__grnd_level","list__main__humidity","list__weather__main","list__weather__description","list__wind__speed","list__rain__1h","list__dt_txt"
"286.44","286.258","286.44","1015.82","1015.82","1002.193","100","Rain","light rain","5.51","0.812","2019-03-27 18:00:00"
"286.43","286.3","286.43","1016.183","1016.183","1002.667","100","Rain","light rain","4.84","0.625","2019-03-27 19:00:00"
"286.6","286.507","286.6","1016.462","1016.462","1003.128","100","Rain","light rain","4.58","0.437","2019-03-27 20:00:00"
"287.97","287.922","287.97","1016.441","1016.441","1003.09","100","Rain","light rain","5.41","0.688","2019-03-27 21:00:00"
"288.27","288.27","288.27","1016.312","1016.312","1003.042","100","Rain","light rain","5.71","0.438","2019-03-27 22:00:00"
"288.251","288.251","288.251","1016.293","1016.293","1002.998","100","Rain","light rain","5.79","0.062","2019-03-27 23:00:00"
"287.791","287.791","287.791","1016.485","1016.485","1003.223","100","Rain","light rain","5.8","0.062","2019-03-28 00:00:00"
"287.052","287.052","287.052","1016.926","1016.926","1003.667","100","Clear","clear sky","5.27",,"2019-03-28 01:00:00"
"286.018","286.018","286.018","1017.562","1017.562","1004.203","100","Clear","clear sky","4.51",,"2019-03-28 02:00:00"
"285.054","285.054","285.054","1018.356","1018.356","1004.798","100","Clear","clear sky","4.08",,"2019-03-28 03:00:00"
"284.795","284.795","284.795","1019.469","1019.469","1005.673","100","Clear","clear sky","3.88",,"2019-03-28 04:00:00"
"284.544","284.544","284.544","1020.394","1020.394","1006.657","100","Clear","clear sky","3.58",,"2019-03-28 05:00:00"
"284.467","284.467","284.467","1021.219","1021.219","1007.513","100","Clear","clear sky","2.76",,"2019-03-28 06:00:00"
"284.2","284.2","284.2","1021.922","1021.922","1008.183","100","Rain","light rain","2.13","0.062","2019-03-28 07:00:00"
"283.9","283.9","283.9","1022.543","1022.543","1008.803","100","Rain","light rain","2.04","0.126","2019-03-28 08:00:00"
"283.8","283.8","283.8","1023.004","1023.004","1009.278","100","Rain","light rain","2.36","0.062","2019-03-28 09:00:00"
