Item,price,day,Weather,time,count sell,crowded,max_capacity,inventory_to_sale_ratio
Rice Bowl,60,Monday,Good,10,3,0,350,0.9914285714
Rice Bowl,60,Monday,Good,11,14,0,350,0.96
Rice Bowl,60,Monday,Good,12,36,1,350,0.8971428571
Rice Bowl,60,Monday,Good,13,40,1,350,0.8857142857
Rice Bowl,60,Monday,Good,14,43,1,350,0.8771428571
Rice Bowl,60,Monday,Bad,15,27,1,350,0.9228571429
Rice Bowl,60,Monday,Bad,16,16,1,350,0.9542857143
Rice Bowl,60,Monday,Bad,17,4,0,350,0.9885714286
Rice Bowl,60,Monday,Good,18,5,0,350,0.9857142857
Rice Bowl,60,Monday,Good,19,30,1,350,0.9142857143
Rice Bowl,60,Monday,Good,20,80,1,350,0.7714285714
Rice Bowl,60,Monday,Good,21,65,1,350,0.8142857143
Rice Bowl,60,Monday,Good,22,48,1,350,0.8628571429
Thali Normal,50,Monday,Good,10,0,0,300,1
Thali Normal,50,Monday,Good,11,5,0,300,0.9833333333
Thali Normal,50,Monday,Good,12,30,1,300,0.9
Thali Normal,50,Monday,Good,13,25,1,300,0.9166666667
Thali Normal,50,Monday,Good,14,45,1,300,0.85
Thali Normal,50,Monday,Bad,15,20,1,300,0.9333333333
Thali Normal,50,Monday,Bad,16,5,0,300,0.9833333333
Thali Normal,50,Monday,Bad,17,0,0,300,1
Thali Normal,50,Monday,Good,18,7,0,300,0.9766666667
Thali Normal,50,Monday,Good,19,20,1,300,0.9333333333
Thali Normal,50,Monday,Good,20,60,1,300,0.8
Thali Normal,50,Monday,Good,21,50,1,300,0.8333333333
Thali Normal,50,Monday,Good,22,15,1,300,0.95
Paratha,20,Monday,Good,10,25,1,250,0.9
Paratha,20,Monday,Good,11,10,0,250,0.96
Paratha,20,Monday,Good,12,15,1,250,0.94
Paratha,20,Monday,Good,13,7,0,250,0.972
Paratha,20,Monday,Good,14,5,0,250,0.98
Paratha,20,Monday,Bad,15,2,0,250,0.992
Paratha,20,Monday,Bad,16,3,0,250,0.988
Paratha,20,Monday,Bad,17,10,0,250,0.96
Paratha,20,Monday,Good,18,17,1,250,0.932
Paratha,20,Monday,Good,19,13,0,250,0.948
Paratha,20,Monday,Good,20,45,1,250,0.82
Paratha,20,Monday,Good,21,34,1,250,0.864
Paratha,20,Monday,Good,22,10,0,250,0.96
Chole Batura,30,Monday,Good,10,7,0,150,0.9533333333
Chole Batura,30,Monday,Good,11,9,0,150,0.94
Chole Batura,30,Monday,Good,12,18,1,150,0.88
Chole Batura,30,Monday,Good,13,15,1,150,0.9
Chole Batura,30,Monday,Good,14,26,1,150,0.8266666667
Chole Batura,30,Monday,Bad,15,5,0,150,0.9666666667
Chole Batura,30,Monday,Bad,16,3,0,150,0.98
Chole Batura,30,Monday,Bad,17,10,0,150,0.9333333333
Chole Batura,30,Monday,Good,18,20,1,150,0.8666666667
Chole Batura,30,Monday,Good,19,12,1,150,0.92
Chole Batura,30,Monday,Good,20,25,1,150,0.8333333333
Chole Batura,30,Monday,Good,21,0,0,150,1
Chole Batura,30,Monday,Good,22,0,0,150,1
Pav Bhaji,50,Monday,Good,10,5,0,200,0.975
Pav Bhaji,50,Monday,Good,11,14,0,200,0.93
Pav Bhaji,50,Monday,Good,12,9,0,200,0.955
Pav Bhaji,50,Monday,Good,13,13,0,200,0.935
Pav Bhaji,50,Monday,Good,14,7,0,200,0.965
Pav Bhaji,50,Monday,Bad,15,4,0,200,0.98
Pav Bhaji,50,Monday,Bad,16,6,0,200,0.97
Pav Bhaji,50,Monday,Bad,17,10,0,200,0.95
Pav Bhaji,50,Monday,Good,18,12,0,200,0.94
Pav Bhaji,50,Monday,Good,19,25,1,200,0.875
Pav Bhaji,50,Monday,Good,20,39,1,200,0.805
Pav Bhaji,50,Monday,Good,21,31,1,200,0.845
Pav Bhaji,50,Monday,Good,22,19,1,200,0.905
Veg Biryani,60,Monday,Good,10,0,0,240,1
Veg Biryani,60,Monday,Good,11,4,0,240,0.9833333333
Veg Biryani,60,Monday,Good,12,12,0,240,0.95
Veg Biryani,60,Monday,Good,13,16,1,240,0.9333333333
Veg Biryani,60,Monday,Good,14,17,1,240,0.9291666667
Veg Biryani,60,Monday,Bad,15,9,0,240,0.9625
Veg Biryani,60,Monday,Bad,16,5,0,240,0.9791666667
Veg Biryani,60,Monday,Bad,17,8,0,240,0.9666666667
Veg Biryani,60,Monday,Good,18,6,0,240,0.975
Veg Biryani,60,Monday,Good,19,35,1,240,0.8541666667
Veg Biryani,60,Monday,Good,20,46,1,240,0.8083333333
Veg Biryani,60,Monday,Good,21,38,1,240,0.8416666667
Veg Biryani,60,Monday,Good,22,23,1,240,0.9041666667
Burger,50,Monday,Good,10,10,0,150,0.9333333333
Burger,50,Monday,Good,11,8,0,150,0.9466666667
Burger,50,Monday,Good,12,14,0,150,0.9066666667
Burger,50,Monday,Good,13,17,1,150,0.8866666667
Burger,50,Monday,Good,14,9,0,150,0.94
Burger,50,Monday,Bad,15,6,0,150,0.96
Burger,50,Monday,Bad,16,25,1,150,0.8333333333
Burger,50,Monday,Bad,17,20,1,150,0.8666666667
Burger,50,Monday,Good,18,21,1,150,0.86
Burger,50,Monday,Good,19,20,1,150,0.8666666667
Burger,50,Monday,Good,20,0,0,150,1
Burger,50,Monday,Good,21,0,0,150,1
Burger,50,Monday,Good,22,0,0,150,1
Manchurian,50,Monday,Good,10,2,0,150,0.9866666667
Manchurian,50,Monday,Good,11,6,0,150,0.96
Manchurian,50,Monday,Good,12,8,0,150,0.9466666667
Manchurian,50,Monday,Good,13,11,0,150,0.9266666667
Manchurian,50,Monday,Good,14,16,1,150,0.8933333333
Manchurian,50,Monday,Bad,15,9,0,150,0.94
Manchurian,50,Monday,Bad,16,13,0,150,0.9133333333
Manchurian,50,Monday,Bad,17,4,0,150,0.9733333333
Manchurian,50,Monday,Good,18,3,0,150,0.98
Manchurian,50,Monday,Good,19,21,1,150,0.86
Manchurian,50,Monday,Good,20,26,1,150,0.8266666667
Manchurian,50,Monday,Good,21,19,1,150,0.8733333333
Manchurian,50,Monday,Good,22,12,0,150,0.92
Veg Noodles,50,Monday,Good,10,6,0,250,0.976
Veg Noodles,50,Monday,Good,11,15,1,250,0.94
Veg Noodles,50,Monday,Good,12,22,1,250,0.912
Veg Noodles,50,Monday,Good,13,24,1,250,0.904
Veg Noodles,50,Monday,Good,14,16,1,250,0.936
Veg Noodles,50,Monday,Bad,15,26,1,250,0.896
Veg Noodles,50,Monday,Bad,16,20,1,250,0.92
Veg Noodles,50,Monday,Bad,17,19,1,250,0.924
Veg Noodles,50,Monday,Good,18,12,0,250,0.952
Veg Noodles,50,Monday,Good,19,32,1,250,0.872
Veg Noodles,50,Monday,Good,20,48,1,250,0.808
Veg Noodles,50,Monday,Good,21,10,0,250,0.96
Veg Noodles,50,Monday,Good,22,0,0,250,1
Pizza,110,Monday,Good,10,0,0,150,1
Pizza,110,Monday,Good,11,0,0,150,1
Pizza,110,Monday,Good,12,6,0,150,0.96
Pizza,110,Monday,Good,13,14,0,150,0.9066666667
Pizza,110,Monday,Good,14,7,0,150,0.9533333333
Pizza,110,Monday,Bad,15,5,0,150,0.9666666667
Pizza,110,Monday,Bad,16,13,0,150,0.9133333333
Pizza,110,Monday,Bad,17,20,1,150,0.8666666667
Pizza,110,Monday,Good,18,23,1,150,0.8466666667
Pizza,110,Monday,Good,19,16,1,150,0.8933333333
Pizza,110,Monday,Good,20,17,1,150,0.8866666667
Pizza,110,Monday,Good,21,9,0,150,0.94
Pizza,110,Monday,Good,22,0,0,150,1
Rice Bowl,50,Tuesday,Bad,10,4,0,350,0.9885714286
Rice Bowl,50,Tuesday,Bad,11,7,0,350,0.98
Rice Bowl,50,Tuesday,Bad,12,12,0,350,0.9657142857
Rice Bowl,50,Tuesday,Good,13,32,1,350,0.9085714286
Rice Bowl,50,Tuesday,Good,14,40,1,350,0.8857142857
Rice Bowl,50,Tuesday,Good,15,22,1,350,0.9371428571
